-0.000470787 0.00031065 0.000786763 1.0 
3.63149 2.29337 4.07049 0 0
3.5848 2.43519 4.07045 0 0
3.65316 2.4866 4.05643 0 0
3.29593 2.57214 3.36051 0 0
3.6622 2.6044 5.26774 0 0
3.18794 2.71158 3.30483 0 0
3.60757 2.63563 5.26777 0 0
6.28558 4.58473 8.24379 0 0
6.02559 4.60085 8.25795 0 0
6.12223 4.60759 8.16038 0 0
7.53409 4.70176 7.7552 0 0
5.92616 4.6285 8.16055 0 0
6.11929 4.6416 8.13252 0 0
7.63319 4.74423 7.50444 0 0
7.93181 4.76466 7.532 0 0
8.5224 4.80593 7.51749 0 0
5.53718 4.63753 8.11914 0 0
5.76328 4.65273 8.07715 0 0
6.11639 4.67583 8.00718 0 0
6.14889 4.67835 8.14639 0 0
6.24568 4.68522 8.04883 0 0
6.50052 4.70114 8.1182 0 0
6.74763 4.71911 7.72808 0 0
7.99319 4.80411 7.51799 0 0
8.02437 4.80597 7.33695 0 0
9.01618 4.91412 8.19924 0 0
5.8883 4.69469 7.74283 0 0
6.08126 4.70795 7.96542 0 0
6.40319 4.73007 7.78409 0 0
6.4983 4.73618 8.11818 0 0
7.2906 4.79152 7.39334 0 0
7.8622 4.83148 7.49025 0 0
8.14457 4.84927 7.54567 0 0
5.43497 4.69817 8.14705 0 0
5.56548 4.70741 8.11907 0 0
6.20855 4.75286 8.16021 0 0
6.33681 4.76119 7.57527 0 0
6.68149 4.78481 7.4357 0 0
7.02543 4.80811 7.37966 0 0
7.22159 4.82235 7.35162 0 0
7.89248 4.86933 7.4902 0 0
8.14228 4.88483 7.36464 0 0
8.28919 4.89366 7.16956 0 0
5.59551 4.74382 8.03548 0 0
5.62778 4.74626 8.07722 0 0
5.69155 4.75069 7.57589 0 0
5.72348 4.75295 7.46447 0 0
5.75566 4.75536 7.65937 0 0
5.81946 4.75978 7.58969 0 0
5.91571 4.7666 8.16048 0 0
6.58653 4.81338 7.31045 0 0
6.83424 4.83117 7.65831 0 0
7.18617 4.85563 7.36556 0 0
7.28639 4.86294 7.88065 0 0
7.58975 4.88387 7.30946 0 0
7.82493 4.90089 7.7548 0 0
7.85722 4.90275 7.14211 0 0
7.88996 4.90501 7.26739 0 0
8.01744 4.91315 7.18372 0 0
8.48647 4.94601 7.3782 0 0
5.29909 4.75673 8.32816 0 0
5.46351 4.76835 8.18875 0 0
5.6251 4.78027 7.61771 0 0
5.78515 4.79227 7.49223 0 0
5.94545 4.80415 8.17435 0 0
6.1384 4.81844 7.47796 0 0
6.89434 4.87096 7.44937 0 0
7.11805 4.8866 7.22636 0 0
7.1508 4.88895 7.22633 0 0
8.10741 4.95441 6.90513 0 0
8.314 4.96716 7.18341 0 0
8.37117 4.97138 7.14158 0 0
8.45668 4.97931 7.75416 0 0
8.51223 4.98481 7.04397 0 0
4.96855 4.76747 8.20314 0 0
5.09956 4.77674 8.55112 0 0
5.62283 4.81467 7.60376 0 0
5.87856 4.83439 7.3668 0 0
6.07144 4.84921 7.50585 0 0
6.13609 4.85412 7.42224 0 0
6.48825 4.87826 7.12949 0 0
6.51952 4.88036 7.01807 0 0
6.67491 4.89146 7.19893 0 0
6.79825 4.89996 6.89248 0 0
7.21434 4.92932 7.07308 0 0
7.28091 4.93396 7.05909 0 0
7.41521 4.9433 6.86402 0 0
7.44901 4.94569 6.85006 0 0
7.71955 4.96494 6.83587 0 0
7.7863 4.96964 6.82188 0 0
8.044 4.98677 6.97479 0 0
8.3692 5.00724 7.18333 0 0
8.4258 5.01204 7.04404 0 0
8.45391 5.01467 6.93262 0 0
8.51028 5.02066 7.0718 0 0
8.59443 5.03085 7.26665 0 0
5.09711 4.81022 8.21692 0 0
5.19579 4.81724 8.18897 0 0
5.22875 4.81961 8.17502 0 0
5.29468 4.82436 8.1471 0 0
5.42571 4.83373 7.54824 0 0
5.55597 4.84389 7.52026 0 0
5.65285 4.8519 7.74295 0 0
5.68543 4.85485 8.27203 0 0
5.84455 4.86734 7.4782 0 0
6.3909 4.9077 6.9764 0 0
6.70357 4.92935 7.08748 0 0
6.76548 4.93377 7.22666 0 0
6.79611 4.93572 6.87853 0 0
6.85817 4.94007 6.80885 0 0
7.11312 4.95815 6.87822 0 0
7.17924 4.96303 7.39334 0 0
7.21201 4.96514 7.08698 0 0
7.54818 4.98877 6.73855 0 0
7.68359 4.99838 6.86373 0 0
7.71777 5.00109 7.44851 0 0
7.88279 5.01235 6.90531 0 0
7.94822 5.01732 7.866 0 0
8.07307 5.02469 7.35069 0 0
8.10317 5.0261 6.86332 0 0
8.13332 5.02773 6.77975 0 0
8.3096 5.0384 6.77957 0 0
8.33834 5.04053 6.83524 0 0
8.36688 5.04277 6.84914 0 0
8.50875 5.0567 7.57305 0 0
8.56414 5.06269 6.89071 0 0
8.78662 5.09422 7.33605 0 0
4.96416 4.8346 8.17526 0 0
5.22656 4.85344 8.09145 0 0
5.32547 4.86077 8.1192 0 0
5.35842 4.86327 8.16094 0 0
5.48894 4.87315 7.6874 0 0
5.5212 4.87561 7.42281 0 0
5.55368 4.87831 7.4924 0 0
5.61821 4.88368 7.47841 0 0
5.6825 4.88914 7.52012 0 0
6.32473 4.93929 7.01821 0 0
6.35681 4.94152 7.0878 0 0
6.38862 4.94363 6.96245 0 0
6.4521 4.94796 6.96239 0 0
6.67046 4.96291 6.9761 0 0
6.8872 4.97812 6.76703 0 0
6.95024 4.98277 6.92013 0 0
7.01368 4.9872 6.72513 0 0
7.04577 4.98944 6.69725 0 0
7.2761 5.00543 6.9755 0 0
7.37657 5.01246 6.7387 0 0
7.44406 5.01732 6.68293 0 0
7.47794 5.01978 6.71075 0 0
7.6475 5.03174 6.86375 0 0
7.71482 5.03637 6.80798 0 0
7.74829 5.03869 6.7801 0 0
7.97686 5.05454 6.76595 0 0
8.13129 5.06344 6.80757 0 0
8.24968 5.07016 6.79353 0 0
8.27936 5.07245 7.46186 0 0
8.30758 5.074 6.77955 0 0
8.36477 5.07833 6.73772 0 0
8.42163 5.08336 6.87691 0 0
8.44979 5.08601 6.82118 0 0
8.47817 5.089 7.07179 0 0
8.50604 5.09183 6.84898 0 0
8.53434 5.09507 7.1135 0 0
8.72916 5.12026 6.8766 0 0
8.86744 5.14246 7.86506 0 0
4.92972 4.86604 8.37021 0 0
5.2241 4.88718 7.72941 0 0
5.51901 4.91005 7.47848 0 0
5.83981 4.93784 7.00475 0 0
6.00005 4.95155 6.92104 0 0
6.38637 4.97952 6.94851 0 0
6.41828 4.98179 7.05987 0 0
6.44992 4.98395 7.00414 0 0
6.60644 4.99452 6.97614 0 0
6.85376 5.01155 6.69742 0 0
6.88489 5.01381 6.62777 0 0
6.9164 5.01624 6.82267 0 0
6.97933 5.02069 6.54413 0 0
7.07578 5.02749 6.6972 0 0
7.10824 5.02965 6.64147 0 0
7.17397 5.03411 6.76672 0 0
7.2071 5.03641 6.86416 0 0
7.24013 5.03856 6.66919 0 0
7.27366 5.041 6.87802 0 0
7.30686 5.04318 6.5995 0 0
7.4755 5.05547 6.65503 0 0
7.50933 5.05785 6.58538 0 0
7.61126 5.06502 6.82199 0 0
7.7458 5.07409 6.58515 0 0
7.77921 5.07646 6.64081 0 0
7.8123 5.07876 6.55723 0 0
7.84538 5.08117 6.66859 0 0
7.94281 5.08807 6.71027 0 0
7.97458 5.09014 6.59884 0 0
8.06836 5.09576 6.75192 0 0
8.09889 5.09736 6.71011 0 0
8.2183 5.10379 6.66823 0 0
8.24777 5.10569 6.90491 0 0
8.30558 5.10945 6.79346 0 0
8.36299 5.11391 6.96049 0 0
8.41985 5.11895 7.1136 0 0
8.47585 5.12421 6.73759 0 0
8.56004 5.13326 6.75143 0 0
8.58839 5.13672 7.12735 0 0
8.64399 5.14346 6.89059 0 0
8.67172 5.14706 6.77916 0 0
8.7557 5.15944 7.72591 0 0
8.86483 5.17615 7.04352 0 0
9.02763 5.19957 7.5307 0 0
4.76689 4.88791 8.11971 0 0
4.86279 4.89484 8.16139 0 0
5.32053 4.92855 7.42296 0 0
5.51672 4.94444 7.39492 0 0
5.54891 4.94707 7.15818 0 0
5.5813 4.94994 7.25562 0 0
5.64547 4.95551 6.99099 0 0
5.80571 4.9703 7.04653 0 0
6.03011 4.99011 6.90707 0 0
6.22358 5.0042 6.8651 0 0
6.25619 5.00667 7.26887 0 0
6.38402 5.01527 6.82317 0 0
6.44765 5.01975 6.90666 0 0
6.47924 5.02193 6.92055 0 0
6.72782 5.03831 6.73929 0 0
6.78947 5.04257 6.59999 0 0
6.88261 5.0494 6.5442 0 0
6.94558 5.05423 6.753 0 0
7.20457 5.07177 6.65528 0 0
7.2377 5.07397 6.5717 0 0
7.27101 5.07626 6.55774 0 0
7.3045 5.07864 6.59948 0 0
7.37174 5.08355 6.64119 0 0
7.4055 5.08607 6.68293 0 0
7.50692 5.0934 6.55751 0 0
7.54084 5.09576 6.5714 0 0
7.60873 5.10036 6.64095 0 0
7.67621 5.10477 6.50165 0 0
7.71001 5.10714 6.64085 0 0
7.74353 5.10943 6.6269 0 0
7.81013 5.11413 6.65468 0 0
7.94054 5.12343 6.57101 0 0
8.2163 5.13908 6.69605 0 0
8.3035 5.14463 6.68204 0 0
8.33229 5.1468 6.77948 0 0
8.41753 5.15394 6.75155 0 0
8.47396 5.15947 6.83504 0 0
8.69761 5.18526 6.77912 0 0
8.80828 5.20139 7.04356 0 0
8.89028 5.21411 7.01563 0 0
8.9718 5.2264 7.26617 0 0
9.2126 5.24625 8.28239 0 0
5.08839 4.94538 7.91051 0 0
5.31839 4.96273 7.42295 0 0
5.35125 4.96533 7.42291 0 0
5.41679 4.97063 7.40892 0 0
5.57902 4.98445 7.15813 0 0
5.64333 4.99027 7.0606 0 0
5.67533 4.99319 6.94917 0 0
5.70735 4.99619 6.89344 0 0
5.73946 4.99931 6.99088 0 0
5.8034 5.00543 6.90727 0 0
5.83537 5.00851 6.86547 0 0
