0.00466313 0.00393825 0.00175825 0.99998 
5.3365 1.95235 5.0368 0 0
5.81453 1.95653 4.48421 0 0
5.90178 1.95718 4.45717 0 0
6.36838 1.95326 4.39192 0 0
7.20889 1.98441 4.13493 0 0
7.27359 1.98838 4.16335 0 0
7.33902 1.9922 4.13608 0 0
5.15122 1.9772 4.9931 0 0
5.84057 1.98617 4.49815 0 0
5.92797 1.98669 4.45718 0 0
6.07359 1.98647 4.44461 0 0
6.10265 1.98631 4.45881 0 0
6.56889 1.98435 4.37962 0 0
6.5976 1.98534 4.3938 0 0
7.17387 2.01307 4.19007 0 0
7.20632 2.01483 4.19036 0 0
7.27215 2.01808 4.13525 0 0
7.40344 2.02626 4.10856 0 0
5.11733 2.00501 4.96471 0 0
5.14786 2.00547 4.965 0 0
5.57435 2.0112 4.57902 0 0
5.66258 2.01285 4.5659 0 0
5.86685 2.01563 4.48423 0 0
5.89611 2.01576 4.45665 0 0
5.92474 2.01637 4.49869 0 0
5.95431 2.01614 4.44327 0 0
5.98314 2.01645 4.47139 0 0
6.07103 2.01585 4.43043 0 0
6.1584 2.0152 4.47303 0 0
6.50882 2.01246 4.39276 0 0
6.53727 2.01339 4.43479 0 0
6.56633 2.01396 4.40721 0 0
6.59487 2.01511 4.43532 0 0
6.62365 2.0162 4.43558 0 0
6.8278 2.02604 4.3817 0 0
7.13948 2.04126 4.16168 0 0
7.1717 2.04319 4.18982 0 0
7.36973 2.05384 4.0941 0 0
5.14435 2.03386 4.95081 0 0
5.57109 2.0403 4.62053 0 0
5.60056 2.04093 4.6208 0 0
5.63043 2.0411 4.56538 0 0
5.7764 2.04377 4.53887 0 0
5.80581 2.04397 4.49737 0 0
5.83482 2.04448 4.49763 0 0
5.86409 2.04472 4.47005 0 0
5.92202 2.04559 4.48451 0 0
5.95095 2.04596 4.4987 0 0
5.98033 2.0459 4.47113 0 0
6.50625 2.04217 4.43428 0 0
6.5352 2.04271 4.42062 0 0
6.59232 2.04485 4.46291 0 0
6.62118 2.04591 4.44924 0 0
6.6498 2.04728 4.46342 0 0
6.8253 2.05587 4.35359 0 0
6.91552 2.06069 4.29869 0 0
7.1041 2.07039 4.23075 0 0
7.16954 2.07344 4.18956 0 0
7.20239 2.07515 4.18985 0 0
7.40173 2.08614 4.09414 0 0
5.10996 2.06195 4.9642 0 0
5.20233 2.06307 4.90935 0 0
5.56816 2.06902 4.62028 0 0
5.62751 2.06986 4.56513 0 0
5.65676 2.07048 4.56539 0 0
5.68607 2.07099 4.55174 0 0
5.77373 2.07251 4.51077 0 0
5.83202 2.07345 4.48345 0 0
5.91913 2.07489 4.48425 0 0
5.94835 2.07511 4.4706 0 0
5.9775 2.07533 4.47087 0 0
6.0067 2.07543 4.47114 0 0
6.18301 2.07357 4.44494 0 0
6.35915 2.07094 4.41876 0 0
6.4754 2.07105 4.41984 0 0
6.50414 2.07163 4.43403 0 0
6.61888 2.07562 4.44899 0 0
6.70576 2.07946 4.38014 0 0
7.03766 2.09722 4.20207 0 0
7.06963 2.09891 4.20235 0 0
7.10206 2.10046 4.18871 0 0
7.23414 2.1068 4.13419 0 0
7.33453 2.11199 4.07939 0 0
7.36781 2.11404 4.07968 0 0
5.01338 2.09007 5.07448 0 0
5.13674 2.09102 4.97814 0 0
5.26043 2.09244 4.86788 0 0
5.53555 2.09701 4.61976 0 0
5.62436 2.09866 4.57879 0 0
5.65362 2.09932 4.57906 0 0
5.71219 2.1004 4.55175 0 0
5.74128 2.10106 4.55201 0 0
5.79979 2.10205 4.51078 0 0
5.8287 2.1028 4.52496 0 0
5.85774 2.10341 4.52523 0 0
5.88704 2.10375 4.49765 0 0
5.91626 2.10415 4.48399 0 0
5.94523 2.10466 4.49819 0 0
5.97454 2.10487 4.48453 0 0
6.00364 2.10513 4.49873 0 0
6.15113 2.10357 4.44441 0 0
6.26845 2.10211 4.48729 0 0
6.35675 2.10072 4.44635 0 0
6.41456 2.1009 4.50259 0 0
6.53083 2.10194 4.43403 0 0
6.55964 2.10279 4.42037 0 0
6.67406 2.10835 4.43532 0 0
6.91045 2.12097 4.24247 0 0
6.94062 2.12303 4.27058 0 0
7.09972 2.13096 4.18845 0 0
7.26591 2.13904 4.13424 0 0
7.2994 2.1409 4.13453 0 0
7.43369 2.14877 4.0661 0 0
4.33051 2.12437 5.91728 0 0
