4.65031e-05 0.00136895 -0.0148064 0.999889 
5.91022 1.94968 4.13252 0 0
5.90644 1.97829 3.9932 0 0
5.93543 1.97971 4.00712 0 0
5.57935 1.99038 4.10451 0 0
5.69829 1.99686 4.09059 0 0
5.93161 2.00864 3.97919 0 0
5.96059 2.01003 3.97919 0 0
6.10565 2.01624 4.00705 0 0
6.42715 2.02381 4.11846 0 0
5.33243 2.00558 4.11836 0 0
5.42395 2.01052 4.13229 0 0
5.6649 2.02394 4.10443 0 0
5.89877 2.03618 4.00696 0 0
5.92775 2.03767 4.00696 0 0
5.95674 2.03906 3.97911 0 0
6.01471 2.04186 3.97911 0 0
6.04372 2.04316 3.97912 0 0
6.07276 2.04438 3.97912 0 0
6.39464 2.05225 3.99306 0 0
6.5114 2.05523 4.10446 0 0
4.75455 2.01088 4.36891 0 0
5.35852 2.03547 4.09044 0 0
5.51094 2.04398 4.10436 0 0
5.69058 2.05416 4.10435 0 0
5.74935 2.05715 4.02081 0 0
5.77857 2.0587 4.00689 0 0
5.8368 2.06176 3.96511 0 0
5.89488 2.06507 4.02081 0 0
5.95284 2.06811 4.00688 0 0
5.98184 2.06961 4.00688 0 0
6.03986 2.07246 4.02081 0 0
6.15649 2.07661 3.89549 0 0
6.18575 2.07776 4.02081 0 0
6.47912 2.0838 4.09046 0 0
5.47628 2.07062 4.10428 0 0
5.53707 2.07412 4.09036 0 0
5.5974 2.0775 4.04858 0 0
5.74538 2.08569 4.00681 0 0
5.77461 2.08732 4.00681 0 0
5.80376 2.08886 3.97896 0 0
5.83284 2.09059 4.02073 0 0
5.8619 2.0921 3.97896 0 0
5.91994 2.09541 4.0068 0 0
5.94895 2.09698 3.99288 0 0
5.97796 2.09851 3.97895 0 0
6.00696 2.1001 4.0068 0 0
6.03602 2.1015 3.97895 0 0
6.06509 2.10291 3.99288 0 0
6.09425 2.10415 3.97895 0 0
6.12346 2.10531 3.99288 0 0
6.29983 2.10966 4.02074 0 0
6.32929 2.11014 4.00682 0 0
6.3881 2.11116 3.9929 0 0
