0.001742 0.00114586 0.00212108 0.999996 
6.80632 2.1825 4.1882 0 0
7.74465 2.25046 4.01029 0 0
6.8638 2.21654 4.02123 0 0
7.74518 2.31239 3.99623 0 0
6.85934 2.27816 4.02107 0 0
6.95112 2.28384 4.04923 0 0
7.3189 2.30286 3.85553 0 0
6.88731 2.3111 4.06287 0 0
7.04608 2.31969 3.89631 0 0
7.28388 2.33191 3.81356 0 0
7.35258 2.33621 3.86949 0 0
7.38672 2.33859 3.91138 0 0
7.52126 2.34964 4.00929 0 0
7.55482 2.35243 3.84231 0 0
6.62287 2.32561 4.10369 0 0
6.82531 2.3382 4.00689 0 0
6.94735 2.34569 4.0073 0 0
7.07757 2.35241 3.8685 0 0
7.21387 2.3593 3.81326 0 0
7.42096 2.37217 3.82787 0 0
7.65176 2.39453 3.98179 0 0
8.02001 2.44091 4.06651 0 0
8.19924 2.46172 4.12278 0 0
8.25865 2.46834 4.06728 0 0
6.64917 2.35864 4.1594 0 0
6.73506 2.364 4.14576 0 0
7.07589 2.38353 3.86842 0 0
7.17825 2.38861 3.78522 0 0
7.21247 2.3907 3.89673 0 0
7.24751 2.39241 3.8133 0 0
7.35198 2.39863 3.79972 0 0
7.42095 2.40349 3.81388 0 0
7.52245 2.41192 3.80029 0 0
7.55544 2.41518 3.84217 0 0
7.80834 2.44516 3.99614 0 0
7.95993 2.46488 4.06625 0 0
8.08009 2.47951 4.09448 0 0
8.10995 2.48304 4.12242 0 0
8.28811 2.50352 4.13692 0 0
8.3175 2.50697 4.12309 0 0
8.34679 2.51045 4.09534 0 0
6.59074 2.3865 4.08951 0 0
6.70448 2.39335 4.11774 0 0
6.8817 2.40407 3.92339 0 0
6.97528 2.4097 3.9794 0 0
7.17694 2.41988 3.79907 0 0
7.24661 2.42368 3.81322 0 0
7.28162 2.42568 3.81334 0 0
7.4554 2.43744 3.77215 0 0
7.52262 2.44345 3.85591 0 0
7.5559 2.44652 3.82817 0 0
7.62067 2.45362 3.96762 0 0
7.7775 2.47282 4.12129 0 0
7.80858 2.47656 4.02392 0 0
7.8391 2.48057 4.03794 0 0
8.11014 2.51454 4.10843 0 0
8.16992 2.52141 4.10862 0 0
8.19966 2.52485 4.12264 0 0
8.28841 2.53512 4.12292 0 0
8.31777 2.53861 4.12302 0 0
8.34698 2.54217 4.12311 0 0
6.088 2.40521 4.93709 0 0
6.50293 2.41401 4.25623 0 0
6.58908 2.4178 4.06158 0 0
6.61717 2.41957 4.14522 0 0
6.67423 2.4228 4.07579 0 0
6.76056 2.42808 4.02039 0 0
7.03918 2.44409 3.81246 0 0
7.07259 2.44587 3.82649 0 0
7.14087 2.4494 3.82672 0 0
7.17568 2.45115 3.79899 0 0
7.2106 2.45306 3.81303 0 0
7.24574 2.45498 3.81315 0 0
7.28102 2.45697 3.79934 0 0
7.3162 2.45912 3.81338 0 0
7.3514 2.46133 3.79958 0 0
7.42113 2.46622 3.79981 0 0
7.52312 2.47482 3.84192 0 0
7.65355 2.48837 3.88411 0 0
7.71634 2.49607 3.98178 0 0
7.80891 2.50794 4.02385 0 0
7.83938 2.51195 4.03787 0 0
7.86968 2.51597 4.05189 0 0
7.89989 2.51998 4.06591 0 0
7.9902 2.53161 4.08012 0 0
8.02018 2.53538 4.10807 0 0
8.05018 2.53906 4.12209 0 0
8.08027 2.54259 4.10826 0 0
8.11027 2.5461 4.10835 0 0
8.16994 2.55309 4.15032 0 0
8.19975 2.5565 4.15041 0 0
8.2295 2.55989 4.13659 0 0
8.25933 2.56317 4.06706 0 0
8.28863 2.56676 4.12285 0 0
8.31799 2.57025 4.12295 0 0
8.34716 2.57385 4.13696 0 0
8.46225 2.58876 4.15125 0 0
6.20623 2.43725 4.77034 0 0
6.50155 2.44519 4.17261 0 0
6.64396 2.45258 4.11739 0 0
6.72986 2.45758 4.02021 0 0
6.9087 2.46822 3.82587 0 0
7.00423 2.47364 3.82619 0 0
7.03723 2.47541 3.8263 0 0
7.07076 2.47719 3.84034 0 0
7.105 2.47886 3.79868 0 0
7.13942 2.48069 3.82664 0 0
7.17446 2.48242 3.78499 0 0
7.20972 2.48422 3.75726 0 0
7.24502 2.4862 3.7713 0 0
7.28038 2.48828 3.79927 0 0
7.31574 2.49048 3.82724 0 0
7.35123 2.49265 3.78558 0 0
7.38639 2.49507 3.79962 0 0
7.42139 2.49753 3.77189 0 0
7.45607 2.50015 3.74416 0 0
7.49015 2.50306 3.77212 0 0
7.52297 2.50665 4.03678 0 0
7.55697 2.50931 3.82803 0 0
7.62204 2.51618 3.88394 0 0
7.748 2.53124 3.95396 0 0
7.77865 2.53529 4.00976 0 0
7.8397 2.54331 4.02387 0 0
7.87001 2.54732 4.02397 0 0
7.96016 2.55935 4.09388 0 0
7.99024 2.56316 4.09397 0 0
8.05032 2.57058 4.10809 0 0
8.11038 2.57766 4.10828 0 0
8.14026 2.5812 4.13623 0 0
8.19992 2.58811 4.15034 0 0
8.22971 2.59148 4.12259 0 0
8.25931 2.59492 4.12269 0 0
8.2888 2.5984 4.12278 0 0
8.31813 2.60193 4.1368 0 0
8.43393 2.61653 4.15109 0 0
6.47109 2.47533 4.21421 0 0
6.5574 2.47919 4.07526 0 0
6.58585 2.48067 4.06143 0 0
6.69973 2.48706 3.96434 0 0
6.72825 2.48889 3.99228 0 0
6.78645 2.4923 3.89501 0 0
6.90337 2.50171 4.77262 0 0
6.93777 2.50147 3.86767 0 0
6.96975 2.50318 3.826 0 0
7.00226 2.50492 3.81219 0 0
7.03539 2.50666 3.79837 0 0
7.0691 2.50841 3.79849 0 0
7.10328 2.5102 3.81253 0 0
7.138 2.51197 3.81264 0 0
7.17304 2.51383 3.82668 0 0
7.20866 2.51554 3.75718 0 0
7.24407 2.51757 3.79908 0 0
7.27974 2.51961 3.79919 0 0
7.31536 2.52177 3.81324 0 0
7.38654 2.52631 3.75778 0 0
7.42155 2.52892 3.78574 0 0
7.45624 2.53163 3.79978 0 0
7.49059 2.53445 3.78597 0 0
7.55771 2.54058 3.78619 0 0
7.59048 2.54392 3.80022 0 0
7.62272 2.54743 3.8421 0 0
7.65451 2.55115 3.91182 0 0
7.7484 2.56259 3.95389 0 0
7.77901 2.56665 4.00969 0 0
7.80975 2.57056 3.96801 0 0
7.87023 2.57875 4.0239 0 0
7.9303 2.58686 4.06586 0 0
7.9603 2.59082 4.07988 0 0
7.99028 2.5947 4.0939 0 0
8.02036 2.59845 4.094 0 0
8.11047 2.60926 4.12213 0 0
8.17035 2.61619 4.12233 0 0
8.20017 2.61964 4.12242 0 0
8.22987 2.62308 4.12252 0 0
8.31814 2.63362 4.16457 0 0
8.43394 2.64815 4.16494 0 0
6.44069 2.5053 4.20011 0 0
6.46982 2.50651 4.14451 0 0
6.52715 2.50935 4.15863 0 0
6.55574 2.51075 4.13088 0 0
6.61276 2.51367 4.04752 0 0
6.66961 2.51682 3.99202 0 0
6.69819 2.51844 3.95034 0 0
6.78456 2.52376 3.9367 0 0
6.81406 2.52546 3.88111 0 0
6.90473 2.53085 3.81179 0 0
6.93591 2.53267 3.81189 0 0
6.96772 2.53449 3.812 0 0
7.00027 2.53624 3.79818 0 0
7.03345 2.53801 3.7983 0 0
7.06723 2.53977 3.81233 0 0
7.10157 2.54156 3.82637 0 0
7.13656 2.54325 3.79864 0 0
7.17184 2.54506 3.79876 0 0
7.20751 2.54686 3.77103 0 0
7.24327 2.54883 3.78508 0 0
7.27905 2.55094 3.81304 0 0
7.3151 2.55298 3.77139 0 0
7.35086 2.55529 3.78544 0 0
7.42187 2.56017 3.75782 0 0
7.45676 2.56286 3.75794 0 0
7.49107 2.56576 3.7859 0 0
7.52503 2.5687 3.75816 0 0
7.55832 2.57187 3.7722 0 0
7.62117 2.58013 4.44076 0 0
7.71769 2.59006 3.96765 0 0
7.77938 2.59796 3.99569 0 0
7.84022 2.60608 4.02373 0 0
7.90033 2.61436 4.09354 0 0
7.96029 2.6224 4.10766 0 0
7.99022 2.62633 4.1356 0 0
8.02038 2.63003 4.10785 0 0
8.05054 2.63365 4.09402 0 0
8.08055 2.63729 4.12197 0 0
8.1406 2.64432 4.12216 0 0
8.17045 2.6478 4.13618 0 0
8.20027 2.65124 4.13627 0 0
8.2302 2.65454 4.06675 0 0
8.31829 2.66515 4.13665 0 0
6.2267 2.53132 5.75881 0 0
6.46831 2.53786 4.15836 0 0
6.5546 2.54205 4.06118 0 0
6.58265 2.5438 4.15874 0 0
6.63973 2.54665 4.01969 0 0
6.66811 2.54826 4.00586 0 0
6.75409 2.55324 3.90868 0 0
6.78075 2.55655 4.5632 0 0
6.81247 2.55673 3.85318 0 0
6.87201 2.5605 3.88123 0 0
6.93346 2.56432 3.93713 0 0
6.9657 2.56585 3.81192 0 0
6.99825 2.56759 3.7981 0 0
7.0315 2.56934 3.79822 0 0
