-0.00324283 0.0143257 -0.00618876 0.999873 
3.66604 2.2725 4.00638 0 0
3.63545 2.30114 3.96396 0 0
9.26678 3.23394 4.09667 0 0
8.42616 3.60681 5.97183 0 0
8.59294 3.65761 6.08076 0 0
8.62008 3.65679 5.96917 0 0
8.67426 3.65488 5.74601 0 0
8.30811 3.65441 5.85977 0 0
8.30554 3.68378 5.77536 0 0
8.41923 3.69445 5.71862 0 0
8.44707 3.69572 5.66269 0 0
8.5875 3.71028 5.7171 0 0
8.6438 3.71722 5.80013 0 0
8.92053 3.73494 5.72822 0 0
8.06482 3.68677 5.73501 0 0
8.21532 3.7029 5.67787 0 0
8.24593 3.71184 5.87244 0 0
8.2743 3.71155 5.7469 0 0
8.41687 3.72418 5.64813 0 0
8.55738 3.73756 5.64686 0 0
8.64197 3.74807 5.7714 0 0
8.72543 3.75394 5.75677 0 0
8.78046 3.75548 5.6728 0 0
8.89133 3.76389 5.69972 0 0
7.83868 3.69532 5.86156 0 0
7.96836 3.70952 5.80461 0 0
7.99913 3.70863 5.63728 0 0
8.0307 3.71283 5.65089 0 0
8.09437 3.72815 5.92865 0 0
8.1833 3.73102 5.66334 0 0
8.24265 3.73891 5.70453 0 0
8.27256 3.74539 5.81559 0 0
8.38739 3.75702 5.78668 0 0
8.47112 3.76037 5.60496 0 0
8.49975 3.76545 5.68821 0 0
8.52712 3.76483 5.57662 0 0
8.58454 3.77611 5.79881 0 0
8.75007 3.78095 5.51903 0 0
8.91702 3.79699 5.67075 0 0
7.86825 3.72903 5.76289 0 0
7.90065 3.73171 5.72082 0 0
8.02762 3.74261 5.56648 0 0
8.05904 3.74745 5.60793 0 0
8.11969 3.75131 5.496 0 0
8.1509 3.75915 5.64881 0 0
8.24118 3.77439 5.82889 0 0
8.35529 3.77904 5.54943 0 0
8.44111 3.79022 5.63215 0 0
8.55336 3.79957 5.58939 0 0
8.58058 3.79838 5.46388 0 0
8.63693 3.80495 5.53298 0 0
8.66756 3.81951 5.9642 0 0
8.72074 3.81211 5.56011 0 0
9.23883 3.87395 6.00083 0 0
7.63079 3.732 5.62501 0 0
7.7322 3.74428 5.67973 0 0
7.96133 3.76612 5.52443 0 0
8.11857 3.78928 5.70387 0 0
8.1477 3.7875 5.52264 0 0
8.23617 3.79388 5.39653 0 0
8.26583 3.7987 5.45192 0 0
8.35457 3.81726 5.77122 0 0
8.38138 3.8123 5.4926 0 0
