-0.0938113 0.00156241 0.13404 0.986524 
3.60411 2.55472 4.48937 0 0
5.45084 2.17986 6.14487 0 0
4.62593 2.42368 6.02265 0 0
4.65416 2.4166 6.01716 0 0
4.68224 2.40952 6.0117 0 0
5.14035 2.29859 6.14948 0 0
5.59694 2.17137 6.13126 0 0
4.81631 2.40787 6.08556 0 0
5.00372 2.36416 6.16258 0 0
5.14031 2.32831 6.1218 0 0
5.58053 2.20714 6.16351 0 0
5.61735 2.19559 6.05709 0 0
4.77989 2.44467 6.02239 0 0
5.35893 2.29471 6.02307 0 0
5.43009 2.27695 6.09428 0 0
5.45008 2.27 6.04782 0 0
5.51839 2.25307 6.10541 0 0
5.55632 2.24434 6.15475 0 0
5.58129 2.23734 6.1357 0 0
4.50761 2.53894 5.96254 0 0
4.54703 2.53053 6.0116 0 0
4.84256 2.45899 6.02506 0 0
4.90101 2.44512 6.02788 0 0
5.24232 2.35723 5.9898 0 0
5.2523 2.3514 5.88857 0 0
5.4508 2.30023 6.02002 0 0
5.56227 2.27416 6.15429 0 0
5.56142 2.27034 5.99846 0 0
4.49057 2.56963 5.85306 0 0
4.60061 2.54535 5.9593 0 0
4.62917 2.53824 5.95374 0 0
4.65495 2.53147 5.93455 0 0
4.72683 2.51562 6.00566 0 0
4.77007 2.50335 5.92635 0 0
4.86967 2.48114 5.99209 0 0
5.42373 2.33826 5.99764 0 0
5.47677 2.32329 5.97311 0 0
5.54503 2.30697 6.03072 0 0
5.66266 2.27928 6.05041 0 0
5.99433 2.21213 6.12801 0 0
4.25587 2.65397 5.71502 0 0
4.46744 2.60483 5.87239 0 0
4.49399 2.59785 5.85305 0 0
4.51531 2.59152 5.80636 0 0
5.08139 2.46062 6.00834 0 0
5.1866 2.43202 5.94531 0 0
5.22776 2.42281 6.0082 0 0
5.3046 2.40044 5.95066 0 0
5.32496 2.39358 5.90414 0 0
5.41158 2.37014 5.90143 0 0
5.5002 2.34713 5.91253 0 0
5.57354 2.33081 5.99753 0 0
5.82639 2.27789 6.13285 0 0
6.14789 2.21408 6.25496 0 0
3.73397 2.81454 5.46284 0 0
3.83476 2.78485 5.37227 0 0
4.4158 2.64355 5.74128 0 0
4.44754 2.63586 5.74928 0 0
4.73667 2.56808 5.86325 0 0
4.78046 2.5594 5.93982 0 0
4.8883 2.53312 5.89052 0 0
4.91656 2.52645 5.88503 0 0
4.94225 2.52007 5.86587 0 0
4.98602 2.5115 5.94245 0 0
5.03228 2.4991 5.87674 0 0
5.07601 2.48659 5.79734 0 0
5.24606 2.44599 5.92022 0 0
5.37697 2.41325 5.99398 0 0
5.44809 2.39221 5.90921 0 0
5.51148 2.37671 5.93941 0 0
5.53143 2.37056 5.89298 0 0
3.67922 2.8548 5.304 0 0
3.85697 2.82479 5.93592 0 0
3.87263 2.80521 5.39392 0 0
3.90127 2.79739 5.38834 0 0
3.93772 2.78864 5.42378 0 0
4.38482 2.67999 5.7196 0 0
4.42171 2.67158 5.75496 0 0
4.45083 2.66413 5.7493 0 0
4.68602 2.60974 5.88792 0 0
4.71189 2.60309 5.86871 0 0
4.89772 2.56076 5.91771 0 0
4.92095 2.55474 5.88484 0 0
4.94936 2.54806 5.87933 0 0
5.03719 2.52751 5.87645 0 0
5.09148 2.51388 5.85172 0 0
5.1225 2.50643 5.85987 0 0
5.21039 2.48411 5.85695 0 0
5.3007 2.46514 6.02372 0 0
5.32886 2.45344 5.86223 0 0
5.4007 2.43664 5.93333 0 0
5.42619 2.42954 5.91418 0 0
5.48469 2.41469 5.91698 0 0
5.51509 2.40727 5.92524 0 0
5.54799 2.39971 5.94721 0 0
5.56789 2.39385 5.9008 0 0
5.59542 2.38725 5.89545 0 0
5.70347 2.36543 6.01629 0 0
5.7437 2.35794 6.07939 0 0
5.73747 2.35608 5.89627 0 0
5.78971 2.34487 5.87198 0 0
5.83019 2.33761 5.93504 0 0
6.24978 2.2551 6.20829 0 0
3.71695 2.87524 5.32568 0 0
3.9105 2.82564 5.41558 0 0
3.93914 2.81781 5.40999 0 0
3.9627 2.81059 5.37704 0 0
4.12978 2.77316 5.62812 0 0
4.20388 2.75136 5.54277 0 0
4.23812 2.74301 5.56446 0 0
4.38553 2.70872 5.70594 0 0
4.4172 2.70085 5.71395 0 0
4.45403 2.69244 5.74933 0 0
4.51719 2.67704 5.7654 0 0
4.61399 2.6541 5.8033 0 0
4.64782 2.64639 5.82509 0 0
4.83458 2.6035 5.8739 0 0
4.86827 2.59625 5.89572 0 0
4.92272 2.58332 5.87097 0 0
5.02142 2.55841 5.76674 0 0
5.06805 2.54941 5.85694 0 0
5.08628 2.54368 5.79668 0 0
5.25213 2.50485 5.89205 0 0
5.32697 2.4839 5.82075 0 0
5.36817 2.475 5.88364 0 0
5.48573 2.4455 5.88912 0 0
5.51618 2.43822 5.89739 0 0
5.64219 2.40996 5.958 0 0
5.71653 2.39264 5.90105 0 0
5.76344 2.3819 5.84943 0 0
5.80121 2.37493 5.89883 0 0
5.852 2.36644 6.01661 0 0
5.88744 2.35979 6.05229 0 0
5.96936 2.34265 6.02226 0 0
3.74697 2.89668 5.30632 0 0
3.91202 2.85487 5.40177 0 0
4.00312 2.83075 5.41238 0 0
4.51254 2.70622 5.72442 0 0
4.54659 2.69825 5.74615 0 0
4.69007 2.66627 5.87425 0 0
4.71357 2.65996 5.84132 0 0
4.89838 2.61821 5.87635 0 0
4.96375 2.60088 5.75023 0 0
5.0157 2.59145 5.86777 0 0
5.03405 2.58596 5.80749 0 0
5.06531 2.57886 5.8156 0 0
5.12525 2.56472 5.81814 0 0
5.1877 2.54995 5.83436 0 0
5.20855 2.54371 5.78776 0 0
5.26048 2.52984 5.7493 0 0
5.34063 2.51255 5.86134 0 0
5.4384 2.48947 5.91322 0 0
5.45361 2.48393 5.83936 0 0
5.48424 2.47668 5.84759 0 0
5.55291 2.46156 5.90515 0 0
5.72561 2.42307 5.91419 0 0
5.84548 2.39868 5.9477 0 0
5.89324 2.38811 5.89592 0 0
5.92395 2.38198 5.90416 0 0
6.00955 2.36674 6.04356 0 0
6.04389 2.36004 6.06527 0 0
3.5866 2.96733 5.19645 0 0
3.61676 2.95934 5.20475 0 0
3.67744 2.94331 5.22128 0 0
3.7308 2.92812 5.19669 0 0
3.88251 2.89232 5.37984 0 0
3.91096 2.8845 5.37429 0 0
4.05934 2.84462 5.37373 0 0
4.2425 2.80075 5.55076 0 0
4.2844 2.79141 5.6135 0 0
4.42878 2.75715 5.74138 0 0
4.46291 2.74892 5.76309 0 0
4.48927 2.74169 5.74378 0 0
4.52078 2.73392 5.75183 0 0
4.54707 2.72682 5.73253 0 0
4.59402 2.71737 5.82267 0 0
4.65384 2.70646 5.98121 0 0
4.64647 2.70364 5.78411 0 0
4.68817 2.69507 5.84691 0 0
4.74054 2.6819 5.80838 0 0
4.76156 2.67607 5.76176 0 0
4.78777 2.66969 5.74249 0 0
4.87376 2.65308 5.88179 0 0
4.8974 2.64715 5.84884 0 0
4.97612 2.62839 5.79104 0 0
5.01269 2.62086 5.82648 0 0
5.05741 2.60902 5.7469 0 0
5.08621 2.60222 5.74131 0 0
5.11759 2.59503 5.7494 0 0
5.24019 2.56602 5.76812 0 0
5.27138 2.55859 5.77623 0 0
5.33363 2.54372 5.79249 0 0
5.35433 2.53754 5.74592 0 0
5.46761 2.51317 5.87989 0 0
5.47506 2.50879 5.765 0 0
5.56647 2.48799 5.78979 0 0
5.64751 2.47227 5.91587 0 0
5.65687 2.46826 5.8148 0 0
5.68164 2.46254 5.79582 0 0
5.7322 2.45383 5.91364 0 0
5.80488 2.44 5.99882 0 0
5.8442 2.43034 5.90613 0 0
5.86924 2.42489 5.88711 0 0
5.89707 2.41913 5.88172 0 0
5.969 2.40558 5.95288 0 0
6.31706 2.33459 6.09816 0 0
3.27194 3.09286 5.52799 0 0
3.63375 2.99566 5.57087 0 0
3.64144 2.98158 5.15807 0 0
3.67951 2.97266 5.20738 0 0
3.70478 2.96524 5.18826 0 0
3.83002 2.93263 5.23475 0 0
3.94352 2.90576 5.36862 0 0
4.05796 2.87428 5.3463 0 0
4.09186 2.86576 5.36806 0 0
4.24248 2.83891 5.84926 0 0
4.26876 2.83134 5.82996 0 0
4.30382 2.81393 5.53947 0 0
4.33792 2.80551 5.56119 0 0
4.3772 2.79652 5.61027 0 0
4.52129 2.76262 5.7382 0 0
4.55016 2.75518 5.73258 0 0
4.58162 2.74751 5.74065 0 0
4.61564 2.73964 5.76239 0 0
4.6445 2.73249 5.75678 0 0
4.67853 2.72483 5.77853 0 0
4.76209 2.70799 5.90411 0 0
4.7729 2.70339 5.80275 0 0
4.78892 2.69828 5.72874 0 0
4.81526 2.69197 5.70945 0 0
4.90158 2.67553 5.84869 0 0
4.94918 2.66374 5.78274 0 0
5.03865 2.64374 5.77957 0 0
5.05467 2.63863 5.70556 0 0
5.09394 2.63067 5.75466 0 0
5.15171 2.61706 5.74345 0 0
5.19088 2.60892 5.79256 0 0
5.31356 2.58006 5.81127 0 0
5.3655 2.56672 5.77281 0 0
5.39915 2.55917 5.79464 0 0
5.45065 2.54611 5.75627 0 0
5.49692 2.53723 5.84655 0 0
5.51209 2.53214 5.7727 0 0
5.56789 2.51917 5.76188 0 0
5.60077 2.51225 5.78386 0 0
5.68165 2.49684 5.90998 0 0
5.69093 2.49299 5.80892 0 0
5.7079 2.48827 5.74892 0 0
5.7857 2.47383 5.86146 0 0
5.85177 2.46344 6.06136 0 0
5.85079 2.46107 5.90558 0 0
5.90871 2.44924 5.90855 0 0
5.95739 2.44096 6.01256 0 0
5.97795 2.43601 5.96604 0 0
6.12081 2.40544 5.91003 0 0
3.35333 3.11306 5.93828 0 0
3.49635 3.0504 5.11615 0 0
3.61857 3.01839 5.16322 0 0
3.66167 3.00886 5.23991 0 0
3.70679 2.9947 5.17437 0 0
3.7807 2.97708 5.25924 0 0
3.91921 2.94283 5.37405 0 0
3.92173 2.93805 5.23173 0 0
4.09817 2.89458 5.38169 0 0
4.1269 2.88666 5.37608 0 0
4.28607 2.84976 5.58615 0 0
4.31494 2.84186 5.58052 0 0
